ID,Game,Where it appears,Type,English,Spanish,Your feedback,Suggested Spanish
DAN-001,Dance,Home screen,In-game,← All games,← Impostor Games,,
DAN-002,Dance,Home screen,In-game,Impostor Dance Game,Impostor de Baile,,
DAN-003,Dance,Home screen,In-game,Create or Join the game,Crea una sala o únete a una partida,,
DAN-004,Dance,Home screen,In-game,Create,Crear,,
DAN-005,Dance,Home screen,In-game,Create and be the host,Crea la sala y sé el anfitrión,,
DAN-006,Dance,Home screen,In-game,Join,Unirse,,
DAN-007,Dance,Home screen,In-game,Join an existing game,Únete a una partida existente,,
DAN-013,Dance,Home screen,In-game,Create Room,Crear sala,,
DAN-075,Dance,Home screen,In-game,Back to all games,Volver a Impostor Games,,
DAN-076,Dance,Home screen,In-game,Jump to How to Play,Ir a Cómo se juega,,
DAN-077,Dance,Home screen,In-game,How to play,Cómo se juega,,
DAN-008,Dance,Creating or joining a room,In-game,← Back,← Atrás,,
DAN-009,Dance,Creating or joining a room,In-game,Room Code,Código de sala,,
DAN-010,Dance,Creating or joining a room,In-game,Enter room code to join game,Escribe el código para entrar a la sala,,
DAN-011,Dance,Creating or joining a room,In-game,Name,Nombre,,
DAN-012,Dance,Creating or joining a room,In-game,Enter room,Entrar a la sala,,
DAN-014,Dance,Creating or joining a room,In-game,← Leave,← Salir,,
DAN-015,Dance,Creating or joining a room,In-game,Room Created! 🎉,¡Sala creada! 🎉,,
DAN-016,Dance,Creating or joining a room,In-game,Players can scan or enter the code to join.,Los demás pueden escanear el QR o escribir el código para entrar.,,
DAN-017,Dance,Creating or joining a room,In-game,Scan code,Escanea el código,,
DAN-018,Dance,Creating or joining a room,In-game,or enter code,o escribe el código,,
DAN-019,Dance,Creating or joining a room,In-game,Copy code,Copiar código,,
DAN-020,Dance,Creating or joining a room,In-game,Go to Lobby,Ir a la sala,,
DAN-070,Dance,Creating or joining a room,In-game,Scan to join this room,Escanea para entrar a la sala,,
DAN-078,Dance,Creating or joining a room,In-game,Enter Nick Name,Escribe tu nombre,,
DAN-079,Dance,Creating or joining a room,In-game,Copy room code,Copiar el código de sala,,
DAN-094,Dance,Creating or joining a room,In-game,Room QR code,Código QR de la sala,,
DAN-134,Dance,Creating or joining a room,In-game,That code is a {game} room. Taking you there…,Ese código es de una sala del {game}. Te llevamos ahí…,,
DAN-021,Dance,The lobby,In-game,← Leave Room,← Salir de la sala,,
DAN-022,Dance,The lobby,In-game,How to play,Cómo se juega,,
DAN-023,Dance,The lobby,In-game,Lobby,Sala,,
DAN-024,Dance,The lobby,In-game,↵ Imposter Challenge,↵ Reto del Impostor,,
DAN-025,Dance,The lobby,In-game,✨ New game mode is here. Give it a try!,✨ Hay un modo de juego nuevo. ¡Pruébalo!,,
DAN-026,Dance,The lobby,In-game,Music,Música,,
DAN-027,Dance,The lobby,In-game,TikTok and Reels,TikTok y Reels,,
DAN-028,Dance,The lobby,In-game,✨ Now you can create your own song groups.,✨ Ahora puedes crear tus propias listas de canciones.,,
DAN-029,Dance,The lobby,In-game,Songs,Canciones,,
DAN-030,Dance,The lobby,In-game,Pick the group song…,Elige la canción del grupo…,,
DAN-031,Dance,The lobby,In-game,Impostor song (optional),Canción del impostor (opcional),,
DAN-032,Dance,The lobby,In-game,Impostors,Impostores,,
